source_root,relative_path,extension,bytes,sha256,title,frontmatter_updated,review_status,review_scope
local-evidence/restaurant-ai-automation,.github/copilot-instructions.md,.md,903,4cd2d1f7a1fb273151a5a070e2beb1776c9c4e6c307b3d3e447e6fe3b691d5ad,WineOps AI - Copilot Instructions,,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/AGENDA.md,.md,4983,4ee0326a9f492f48446f214b013d0bc22830ffcd55f132f89789a4ad5dbb76a8,Agenda — what is happening now,2026-08-27,read_full,Complete displayed text reviewed.
local-evidence/restaurant-ai-automation,.planning/00-index/CARD-MAP.md,.md,11504,e08476d296fda5b32de9808680ab92924abf0a8a3666caf7b3f10004a0e18a41,"CARD-MAP — the agent-card layer, one row per card",,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/DECISION-INDEX.md,.md,12510,3536fbbf3991a0479b3a93b9e4706d566158f4002f759a34d4f904b0a78d8af3,Decision Index,2026-08-26,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/DESIGN-MAP-CLUSTERS.html,.html,338394,06e369ea677a603e5fb08c8fdae65e0e8f9c4b30db1adaa4786c362dae83ec00,,,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/DESIGN-MAP.html,.html,347504,0360183431958eeb5b235c0602a22f13ff4b4c403b8213e19406151e32a4bdff,,,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/GLOSSARY.md,.md,17926,dca68ed46b4047eb94e53969f9c4547655cf977d653715d0f4cf305265a3767c,Glossary,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/HOME.md,.md,2604,5a122bfe8f92fb5460973d27f855ad5fc39dda659dc973e748471dbdbc6aa7a2,Mudavym — Vault Home,2026-08-28,read_full,Complete displayed text reviewed.
local-evidence/restaurant-ai-automation,.planning/00-index/LOOP-MAP.md,.md,1708,0ff406b791c575347f7f114c5d5e70c9ab6926b055b7919ccf854f91427aea73,Loop Map,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/METRICS.md,.md,78728,609bba2e05342918ebb54825125fe2e5b74e34ad80c1413812aa623297354090,"Metrics — every metric the org names, and whether it has a number",2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/00-index/ORG-MAP.md,.md,6848,0bfab003b16c49555e80a30395f8e56c28638d63833c27c459d3bd6599ed8e6f,Org Map,2026-08-24,read_targeted,Selected relevant paragraphs reviewed.
local-evidence/restaurant-ai-automation,.planning/00-index/PLAN.md,.md,11996,d00d96b8b9ecaaa80cce39cb6a00781b04b7eb89d3facaa22efc5bd91bed9ac1,Plan — what gates what,2026-08-26,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-agenda-board.md,.md,6918,bcbb4ed70fe444f94bc6c8c6e661d57a7b809e5b27aac8b0395ab61ac5de26b2,AI Orchestration — Board,2026-08-28,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-agenda-full.md,.md,24992,d4963d799ec9d94d94f7c15c8919042fe8f466081c4ea6adf09ab8781f5b6591,AI Orchestration — Full Agenda,2026-08-28,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-agent-stack.md,.md,6300,6457f4be1fdbb812f0698b3c81c22c7aa042b211ea34b0c3c4cecd0737ad8ca5,AI Orchestration — Agent Stack,2026-08-27,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-charter.md,.md,13876,4a0dc0b88320ce797a5d12b119b2b22030add2efc9e53f01f4eb452e30bbc47a,AI Orchestration — Charter,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-directive.md,.md,6467,23bed9a414e8a2cabed89680eaca420f6310866aa3215493117af894a36e56ce,AI Orchestration — Directive,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-loops.md,.md,8260,e3c3e5fecf33648c030225b6d6b73e26fc93ead7d3ad5688aa02319f30082de2,AI Orchestration — Loops,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-premortem.md,.md,9212,e7b0086956f51a360bf294ef1cd41405c017e5c5199a05da38ad06167dbcbe73,AI Orchestration — Premortem,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-questions.md,.md,1880,2b70b72f2d50d4950556ff1672c62b5852585cd0e4dad03a13698c32db12c86a,AI Orchestration — Questions & Findings,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/ai-orchestration-schedule.md,.md,7200,eba9ca6b2fcd1811c68aea0dd1f5b9f4230400388dd8cc864030d3b135820a01,AI Orchestration — Schedule & Skills,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/teams/action-safety-the-human-gate/action-safety-the-human-gate-agenda-board.md,.md,4054,ac3b55362cc3794f7eae66e07147470a48bd736db3ac4792a1f5b94bb794c101,Action Safety & the Human Gate — Board,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/teams/action-safety-the-human-gate/action-safety-the-human-gate-agenda-full.md,.md,7552,3104b6f63ccdf0647fcd6cda25cdbfc3c6d3134c98dfdd524260ef11ae532f0a,Action Safety & the Human Gate — Full Agenda,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/teams/action-safety-the-human-gate/action-safety-the-human-gate-agent-stack.md,.md,6905,9d46d4bbf795ef27de38a6a7cbd79f9cc7f4be5e266787586fcdf90cab7b9c81,Action Safety & the Human Gate — Agent Stack,2026-08-27,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/teams/action-safety-the-human-gate/action-safety-the-human-gate-charter.md,.md,8096,8bf05739e5b9e8f2fd1b8f5473e50e68228c4710635066ac59ef5e274c1cf16f,Action Safety & the Human Gate — Charter,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
local-evidence/restaurant-ai-automation,.planning/01-org/applied-ai/ai-orchestration/teams/action-safety-the-human-gate/action-safety-the-human-gate-directive.md,.md,6146,698a3362c8c608dbef1b9025ccbfdc6051c54f592d9bc2902aa721fe39dc0ca9,Action Safety & the Human Gate — Directive,2026-08-24,inventoried_only,Metadata only; no semantic-read claim.
