category,item,variety,date,price,unit
fruit,apples,bramleys_seedling,31/08/2026,1.37,kg
fruit,apples,other_early_season,31/08/2026,1.39,kg
fruit,blackberries,blackberries,31/08/2026,8.92,kg
fruit,currants,black,31/08/2026,10.5,kg
fruit,currants,red,31/08/2026,13.6,kg
fruit,blueberries,blueberries,31/08/2026,9.22,kg
fruit,cherries,all,31/08/2026,5.69,kg
fruit,pears,other,31/08/2026,1.1,kg
fruit,plums,victoria,31/08/2026,2.39,kg
fruit,plums,all_other,31/08/2026,2.16,kg
fruit,raspberries,raspberries,31/08/2026,9.43,kg
fruit,strawberries,strawberries,31/08/2026,3.82,kg
vegetable,beans,dwarf_french_or_kidney,31/08/2026,5.8,kg
vegetable,beans,runner_climbing,31/08/2026,4.66,kg
vegetable,beetroot,beetroot,31/08/2026,0.75,kg
vegetable,brussels_sprouts,brussels_sprouts,31/08/2026,1.01,kg
vegetable,pak_choi,pak_choi,31/08/2026,3.44,kg
vegetable,curly_kale,curly_kale,31/08/2026,4.46,kg
vegetable,cabbage,red,31/08/2026,0.64,kg
vegetable,cabbage,savoy,31/08/2026,0.76,head
vegetable,spring_greens,prepacked,31/08/2026,1.4,kg
vegetable,cabbage,summer_autumn_pointed,31/08/2026,0.9,kg
vegetable,cabbage,white,31/08/2026,0.71,kg
vegetable,cabbage,round_green_other,31/08/2026,0.73,head
vegetable,calabrese,calabrese,31/08/2026,3.83,kg
vegetable,capsicum,green,31/08/2026,0.95,kg
vegetable,capsicum,red,31/08/2026,1.09,kg
vegetable,capsicum,elongated,31/08/2026,1.3,kg
vegetable,carrots,topped_washed,31/08/2026,0.61,kg
vegetable,cauliflower,all,31/08/2026,2.09,head
vegetable,celery,all_washed,31/08/2026,1.21,kg
vegetable,celeriac,celeriac,31/08/2026,0.82,kg
vegetable,chinese_leaf,chinese_leaf,31/08/2026,1.19,kg
vegetable,coriander,coriander,31/08/2026,2.61,kg
vegetable,courgettes,courgettes,31/08/2026,1.38,kg
vegetable,cucumbers,cucumbers,31/08/2026,2,kg
vegetable,leeks,trimmed,31/08/2026,1.62,kg
vegetable,lettuce,butterhead_indoor,31/08/2026,0.51,head
vegetable,lettuce,cos,31/08/2026,0.86,head
vegetable,lettuce,crisp_iceberg_type,31/08/2026,1.31,head
vegetable,lettuce,little_gem,31/08/2026,0.86,twin
vegetable,rocket,rocket,31/08/2026,5.24,kg
vegetable,mixed_babyleaf_salad,pillow_pack,31/08/2026,5.21,kg
vegetable,onion,bulb_brown,31/08/2026,0.45,kg
vegetable,onion,bulb_red,31/08/2026,0.6,kg
vegetable,onion,saladspring,31/08/2026,0.4,kg
vegetable,swede,swede,31/08/2026,0.29,kg
vegetable,turnip,turnip,31/08/2026,1.9,kg
vegetable,parsnips,all_varieties,31/08/2026,1.51,kg
vegetable,peas,shelling_all_varieties,31/08/2026,3.85,kg
vegetable,rhubarb,outdoor,31/08/2026,2.27,kg
vegetable,spinach_leaf,loose_bunches,31/08/2026,2.4,kg
vegetable,sweetcorn,sweetcorn,31/08/2026,0.48,head
vegetable,tomatoes,round,31/08/2026,2.02,kg
vegetable,tomatoes,vine,31/08/2026,2.08,kg
fruit,apples,bramleys_seedling,17/08/2026,1.5,kg
fruit,apples,braeburn,17/08/2026,1.3,kg
fruit,apples,gala,17/08/2026,0.95,kg
cut_flowers,gladioli,all_varieties,05/07/2024,0,stem
